station,cluster,latitude,longitude,elevation,climate
GHCND:US1WAAD0007,3,47.12573,-118.372797,567.5,warm very dry midlands
GHCND:US1WAAD0011,3,47.165523,-118.51653,569.1,warm very dry midlands
GHCND:US1WABT0007,3,46.233484,-119.259879,141.4,warm very dry midlands
GHCND:US1WABT0010,3,46.20094,-119.76163,235.0,warm very dry midlands
GHCND:US1WABT0013,3,46.287,-119.305,121.9,warm very dry midlands
GHCND:US1WABT0015,3,46.250598,-119.324279,175.9,warm very dry midlands
GHCND:US1WABT0017,3,46.287321,-119.562153,233.2,warm very dry midlands
GHCND:US1WABT0025,3,46.31506,-119.27134,118.3,warm very dry midlands
GHCND:US1WABT0029,3,46.2031,-119.1283,123.4,warm very dry midlands
GHCND:US1WACB0002,3,46.283381,-117.954913,544.4,warm very dry midlands
GHCND:US1WACH0004,3,47.370919,-120.207422,227.4,warm very dry midlands
GHCND:US1WACH0011,3,47.434385,-120.326926,214.9,warm very dry midlands
GHCND:US1WACH0013,3,47.419192,-120.344546,274.3,warm very dry midlands
GHCND:US1WACH0022,0,47.798019,-120.401433,481.3,moderate very dry highland
GHCND:US1WACH0033,0,47.770774,-120.664634,568.1,moderate very dry highland
GHCND:US1WACH0051,3,47.41425,-120.35313,320.0,warm very dry midlands
GHCND:US1WACK0003,3,45.653,-122.5311,77.7,warm very dry midlands
GHCND:US1WACK0021,1,45.656149,-122.639912,77.1,moderate dry costal
GHCND:US1WACK0022,1,45.680746,-122.684087,64.0,moderate dry costal
GHCND:US1WACK0027,1,45.62971,-122.369771,125.3,moderate dry costal
GHCND:US1WACK0053,1,45.67985,-122.5002,73.8,moderate dry costal
GHCND:US1WACK0067,3,45.9101,-122.5914,252.4,warm very dry midlands
GHCND:US1WACK0068,1,45.69425,-122.54936,81.1,moderate dry costal
GHCND:US1WACK0069,3,45.641306,-122.552959,69.5,warm very dry midlands
GHCND:US1WACK0072,3,45.8679,-122.6766,58.8,warm very dry midlands
GHCND:US1WACK0073,1,45.615981,-122.469829,79.9,moderate dry costal
